@relation tyrex


@attribute	text_length	numeric
@attribute	digit_frequency	numeric
@attribute	phrases_per_paragraph	numeric
@attribute	punctuation_frequency	numeric
@attribute	sentence_length_avg	numeric
@attribute	sentence_length_max	numeric
@attribute	sentence_length_min	numeric
@attribute	class	{ epic, poetry, drama, report }


@DATA
2317, 0.0004677268475210477, 0.6939890710382514, 0.03014801173180547, 17.826771653543307, 89, 3, poetry
63, 0.0, 1.1666666666666667, 0.022988505747126436, 9.142857142857142, 18, 1, epic
416, 0.0, 1.5223880597014925, 0.032768675367953345, 4.4411764705882355, 9, 1, drama
106, 0.0, 1.7222222222222223, 0.03402854006586169, 3.967741935483871, 17, 1, drama
82, 0.039473684210526314, 2.2857142857142856, 0.03827751196172249, 5.6875, 18, 1, epic
100, 0.03225806451612903, 1.75, 0.03201219512195122, 7.571428571428571, 26, 1, epic
428, 0.0, 0.4594594594594595, 0.02661064425770308, 24.0, 102, 4, poetry
932, 0.012987012987012988, 0.6415094339622641, 0.019772071948372924, 13.441176470588236, 33, 1, report
65, 0.0, 0.6, 0.027989821882951654, 21.0, 29, 15, poetry
2177, 0.007157464212678937, 0.512396694214876, 0.01490084985835694, 16.766129032258064, 50, 1, report
149, 0.0, 0.3157894736842105, 0.028659160696008188, 25.166666666666668, 30, 1, poetry
71, 0.0, 1.2857142857142858, 0.02702702702702703, 8.11111111111111, 14, 1, epic
68, 0.0, 0.6666666666666666, 0.03532008830022075, 16.5, 21, 14, poetry
1879, 0.062085593731163354, 0.7507163323782235, 0.017259450772133325, 7.32824427480916, 40, 1, report
242, 0.0, 0.8421052631578947, 0.02511566424322538, 14.9375, 25, 2, poetry
459, 0.0, 0.35294117647058826, 0.015373614587057561, 26.0, 59, 3, poetry
311, 0.0, 1.8958333333333333, 0.04001482030381623, 3.89010989010989, 9, 1, drama
3938, 0.0, 0.6909620991253644, 0.02523778847246959, 16.17721518987342, 95, 1, epic
532, 0.0, 0.5555555555555556, 0.02639795628725518, 20.48, 40, 3, poetry
511, 0.0, 1.1282051282051282, 0.03753101736972705, 11.727272727272727, 35, 2, poetry
6999, 0.011825922421948912, 0.8509406657018813, 0.021399099774943735, 11.784013605442176, 35, 1, report
662, 0.0, 0.47692307692307695, 0.03317641784353284, 10.935483870967742, 40, 1, drama
2432, 0.022665457842248413, 0.6975806451612904, 0.020985401459854013, 13.745664739884393, 64, 1, report
5701, 0.019801980198019802, 0.737649063032368, 0.018616721200496445, 12.893764434180138, 46, 1, report
1671, 0.0, 0.7407407407407407, 0.02971931755641167, 16.36, 54, 2, poetry
137, 0.0, 0.7142857142857143, 0.03167898627243928, 13.3, 72, 1, epic
342, 0.0, 1.8135593220338984, 0.03896103896103896, 3.6728971962616823, 9, 1, drama
71, 0.0, 1.3333333333333333, 0.0408997955010225, 9.125, 31, 1, poetry
32, 0.045454545454545456, 1.0, 0.009345794392523364, 2.75, 5, 1, drama
87, 0.0, 0.5714285714285714, 0.030476190476190476, 21.0, 29, 14, poetry
591, 0.02376599634369287, 0.6911764705882353, 0.026453819840364882, 12.617021276595745, 71, 1, report
330, 0.0, 1.434782608695652, 0.036059479553903345, 5.5606060606060606, 24, 1, drama
1147, 0.012524084778420038, 0.627906976744186, 0.01435353869934857, 13.802469135802468, 37, 1, report
1074, 0.02354145342886387, 0.788135593220339, 0.019983347210657785, 11.494623655913978, 33, 1, report
219, 0.0, 0.5555555555555556, 0.027298850574712645, 21.1, 34, 11, poetry
128, 0.1452991452991453, 0.9655172413793104, 0.02339688041594454, 5.142857142857143, 21, 1, report
499, 0.010964912280701754, 0.7, 0.01481103166496425, 11.833333333333334, 38, 1, report
1410, 0.0234375, 0.759493670886076, 0.01973805570927873, 11.658333333333333, 42, 1, report
117, 0.009174311926605505, 0.7777777777777778, 0.02312925170068027, 16.428571428571427, 26, 6, epic
743, 0.0, 0.4642857142857143, 0.03315125258994161, 11.661538461538461, 37, 1, drama
697, 0.0, 0.49206349206349204, 0.03218623481781376, 11.612903225806452, 38, 2, drama
112, 0.0, 0.6666666666666666, 0.022408963585434174, 18.166666666666668, 27, 12, epic
204, 0.0, 0.7058823529411765, 0.03206562266964952, 16.583333333333332, 40, 5, poetry
961, 0.018626309662398137, 0.6896551724137931, 0.01755065169699316, 11.725, 37, 1, report
204, 0.0, 1.25, 0.03185185185185185, 10.4, 32, 2, poetry
1865, 0.020783847980997625, 0.47549019607843135, 0.015979524073049253, 18.350515463917525, 54, 1, report
2653, 0.0, 0.5543933054393305, 0.03227232537577365, 10.218867924528302, 44, 1, drama
1901, 0.0011514104778353484, 1.812121212121212, 0.03792222145472128, 6.806020066889632, 38, 1, drama
2505, 0.0, 1.4069148936170213, 0.02857142857142857, 5.039697542533081, 10, 1, drama
310, 0.027777777777777776, 0.7377049180327869, 0.014396456256921373, 7.377777777777778, 21, 1, report
75, 0.0, 0.6666666666666666, 0.024830699774266364, 18.25, 28, 11, poetry
66, 0.01639344262295082, 0.5, 0.03764705882352941, 21.0, 39, 2, poetry
40, 0.0, 0.6666666666666666, 0.029166666666666667, 19.5, 26, 13, poetry
56, 0.019230769230769232, 0.8, 0.05063291139240506, 13.75, 34, 4, poetry
200, 0.0, 0.9375, 0.022568093385214007, 13.266666666666667, 30, 3, epic
1107, 0.0, 0.5591397849462365, 0.02777401436119767, 20.5, 52, 1, poetry
521, 0.021052631578947368, 0.5606060606060606, 0.01624815361890694, 13.81081081081081, 64, 1, report
70, 0.0, 1.1666666666666667, 0.034482758620689655, 10.142857142857142, 17, 1, poetry
1934, 0.013038548752834467, 0.6735751295336787, 0.022375337405881518, 14.561538461538461, 47, 1, report
211, 0.0, 0.9444444444444444, 0.0280437756497948, 12.352941176470589, 45, 3, epic
91, 0.0, 0.7142857142857143, 0.02018348623853211, 17.8, 23, 10, epic
880, 0.0012422360248447205, 1.4736842105263157, 0.03368034292712799, 8.178571428571429, 61, 1, drama
104, 0.0, 0.5, 0.02875399361022364, 25.0, 38, 10, poetry
134, 0.0, 1.9090909090909092, 0.04736842105263158, 6.857142857142857, 31, 1, poetry
