@relation InstanceResultListener

@attribute Key_Dataset {tyrex}
@attribute Key_Run {1,2}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.functions.MultilayerPerceptron,weka.classifiers.bayes.NaiveBayes,weka.classifiers.meta.MultiClassClassifier,weka.classifiers.bayes.BayesNet}
@attribute Key_Scheme_options {'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.7 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','','-M 0 -R 2.0 -S 1 -W weka.classifiers.functions.Logistic -- -R 1.0E-8 -M -1','-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5'}
@attribute Key_Scheme_version_ID {-5990607817048210779,5995231201785697655,-3879602011542849141,746037443258775954}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Area_under_ROC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string
@attribute measureExtraArcs numeric
@attribute measureMissingArcs numeric
@attribute measureReversedArcs numeric
@attribute measureDivergence numeric
@attribute measureBayesScore numeric
@attribute measureBDeuScore numeric
@attribute measureMDLScore numeric
@attribute measureAICScore numeric
@attribute measureEntropyScore numeric
@attribute measureAttributesUsed numeric
@attribute measureNumIterations numeric

@data

tyrex,1,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160126.0129,1134,127,110,17,0,86.614173,13.385827,0,0.819421,0.083362,0.23717,22.739753,55.407301,247.934307,97.041866,150.892442,1.952239,0.764109,1.188129,201.182683,1.584116,10296.012757,0.772727,17,0.066667,7,0.933333,98,0.227273,5,0.708333,0.772727,0.73913,0.91039,0.866142,0.039673,0.960327,0.133858,0.874587,0.866142,0.8659,0.961859,1.565,0,1.56,0,16868,125833,16070,?,?,?,?,?,?,?,?,?,?,?,?
tyrex,1,2,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160126.0129,1135,126,115,11,0,91.269841,8.730159,0,0.881407,0.061399,0.170024,16.75448,39.736388,245.815728,94.53387,151.281858,1.950918,0.750269,1.20065,214.588517,1.703083,10981.285841,0.863636,19,0.048077,5,0.951923,99,0.136364,3,0.791667,0.863636,0.826087,0.978584,0.912698,0.028848,0.971152,0.087302,0.914561,0.912698,0.912912,0.979651,1.552,0,1.55,0,16868,125942,15961,?,?,?,?,?,?,?,?,?,?,?,?
tyrex,1,3,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160126.0129,1135,126,117,9,0,92.857143,7.142857,0,0.902594,0.056996,0.156289,15.553067,36.526389,245.815728,35.138025,210.677703,1.950918,0.278873,1.672045,217.294428,1.724559,11119.757271,0.863636,19,0.028846,3,0.971154,101,0.136364,3,0.863636,0.863636,0.863636,0.98951,0.928571,0.027419,0.972581,0.071429,0.928379,0.928571,0.928372,0.990819,1.647,0.001,1.65,0,16868,125942,15961,?,?,?,?,?,?,?,?,?,?,?,?
tyrex,1,4,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160126.0129,1135,126,107,19,0,84.920635,15.079365,0,0.792853,0.094921,0.240787,25.901859,56.274357,245.815728,83.664676,162.151052,1.950918,0.664005,1.286913,193.267106,1.533866,9890.190599,0.545455,12,0.067308,7,0.932692,97,0.454545,10,0.631579,0.545455,0.585366,0.90035,0.849206,0.060589,0.939411,0.150794,0.845395,0.849206,0.846446,0.951121,1.553,0.001,1.55,0,16868,125942,15961,?,?,?,?,?,?,?,?,?,?,?,?
tyrex,1,5,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160126.0129,1135,126,110,16,0,87.301587,12.698413,0,0.823946,0.078773,0.214324,21.495488,50.089733,245.815728,67.155024,178.660704,1.950918,0.532976,1.417942,202.310941,1.605642,10352.997006,0.454545,10,0.028846,3,0.971154,101,0.545455,12,0.769231,0.454545,0.571429,0.920455,0.873016,0.058283,0.941717,0.126984,0.869309,0.873016,0.86227,0.966708,1.529,0,1.53,0,16868,125942,15961,?,?,?,?,?,?,?,?,?,?,?,?
tyrex,1,6,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160126.0129,1135,126,110,16,0,87.301587,12.698413,0,0.825937,0.077769,0.218497,21.221483,51.065112,245.815728,61.138739,184.676989,1.950918,0.485228,1.46569,201.400143,1.598414,10306.388071,0.590909,13,0.048077,5,0.951923,99,0.409091,9,0.722222,0.590909,0.65,0.934878,0.873016,0.050786,0.949214,0.126984,0.86781,0.873016,0.8687,0.973327,1.531,0,1.53,0,16868,125942,15961,?,?,?,?,?,?,?,?,?,?,?,?
tyrex,1,7,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160126.0129,1135,126,111,15,0,88.095238,11.904762,0,0.835509,0.083815,0.225208,22.832192,52.532517,246.823513,79.556273,167.26724,1.958917,0.631399,1.327518,199.872171,1.586287,10232.818369,0.695652,16,0.019417,2,0.980583,101,0.304348,7,0.888889,0.695652,0.780488,0.905445,0.880952,0.057021,0.942979,0.119048,0.892526,0.880952,0.879645,0.95612,1.527,0,1.53,0,16868,125942,15961,?,?,?,?,?,?,?,?,?,?,?,?
tyrex,1,8,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160126.0129,1135,126,109,17,0,86.507937,13.492063,0,0.816813,0.076354,0.231161,20.799808,53.921063,246.823513,91.986995,154.836518,1.958917,0.730056,1.228861,203.401263,1.614296,10413.496617,0.695652,16,0.058252,6,0.941748,97,0.304348,7,0.727273,0.695652,0.711111,0.919797,0.865079,0.048264,0.951736,0.134921,0.862695,0.865079,0.863365,0.964257,1.531,0.001,1.54,0,16868,125942,15961,?,?,?,?,?,?,?,?,?,?,?,?
tyrex,1,9,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160126.0129,1135,126,104,22,0,82.539683,17.460317,0,0.756629,0.096606,0.264014,26.332745,61.626543,246.380435,147.676696,98.703739,1.9554,1.172037,0.783363,187.427945,1.487523,9593.804778,0.318182,7,0.028846,3,0.971154,101,0.681818,15,0.7,0.318182,0.4375,0.816434,0.825397,0.078407,0.921593,0.174603,0.822336,0.825397,0.807183,0.945277,1.532,0,1.53,0,16868,125942,15961,?,?,?,?,?,?,?,?,?,?,?,?
