@relation InstanceResultListener

@attribute Key_Dataset {tyrex}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.rules.ZeroR,weka.classifiers.trees.J48,weka.classifiers.bayes.NaiveBayes,weka.classifiers.functions.MultilayerPerceptron}
@attribute Key_Scheme_options {'','-C 0.25 -M 2','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a'}
@attribute Key_Scheme_version_ID {48055541465867954,-217733168393644444,5995231201785697655,-5990607817048210779}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Area_under_ROC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary {'Number of leaves: 49\nSize of the tree: 97\n','Number of leaves: 45\nSize of the tree: 89\n','Number of leaves: 46\nSize of the tree: 91\n','Number of leaves: 54\nSize of the tree: 107\n','Number of leaves: 59\nSize of the tree: 117\n','Number of leaves: 48\nSize of the tree: 95\n','Number of leaves: 51\nSize of the tree: 101\n','Number of leaves: 50\nSize of the tree: 99\n','Number of leaves: 52\nSize of the tree: 103\n','Number of leaves: 58\nSize of the tree: 115\n','Number of leaves: 53\nSize of the tree: 105\n','Number of leaves: 47\nSize of the tree: 93\n','Number of leaves: 55\nSize of the tree: 109\n','Number of leaves: 56\nSize of the tree: 111\n','Number of leaves: 57\nSize of the tree: 113\n','Number of leaves: 60\nSize of the tree: 119\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

tyrex,1,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20160324.1517,1134,127,45,82,0,35.433071,64.566929,0,0,0.366591,0.428049,100,100,247.934307,247.934307,0,1.952239,1.952239,0,0,0,0,1,45,1,82,0,0,0,0,0.354331,1,0.523256,0.5,0.354331,0.354331,0.645669,0.645669,0.12555,0.354331,0.185406,0.5,0.004,0.001,0,0,1280,153329,19398,?,?,?,?
tyrex,1,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20160324.1517,1135,126,45,81,0,35.714286,64.285714,0,0,0.366463,0.42788,100,100,245.815728,245.815728,0,1.950918,1.950918,0,0,0,0,1,45,1,81,0,0,0,0,0.357143,1,0.526316,0.5,0.357143,0.357143,0.642857,0.642857,0.127551,0.357143,0.18797,0.5,0.003,0.001,0,0,1280,153462,19265,?,?,?,?
tyrex,1,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20160324.1517,1135,126,45,81,0,35.714286,64.285714,0,0,0.366463,0.42788,100,100,245.815728,245.815728,0,1.950918,1.950918,0,0,0,0,1,45,1,81,0,0,0,0,0.357143,1,0.526316,0.5,0.357143,0.357143,0.642857,0.642857,0.127551,0.357143,0.18797,0.5,0.002,0,0,0,1280,153462,19265,?,?,?,?
tyrex,1,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20160324.1517,1135,126,45,81,0,35.714286,64.285714,0,0,0.366463,0.42788,100,100,245.815728,245.815728,0,1.950918,1.950918,0,0,0,0,1,45,1,81,0,0,0,0,0.357143,1,0.526316,0.5,0.357143,0.357143,0.642857,0.642857,0.127551,0.357143,0.18797,0.5,0.001,0.001,0,0,1280,153462,19265,?,?,?,?
tyrex,1,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20160324.1517,1135,126,45,81,0,35.714286,64.285714,0,0,0.366463,0.42788,100,100,245.815728,245.815728,0,1.950918,1.950918,0,0,0,0,1,45,1,81,0,0,0,0,0.357143,1,0.526316,0.5,0.357143,0.357143,0.642857,0.642857,0.127551,0.357143,0.18797,0.5,0.001,0.001,0,0.01,1280,153462,19265,?,?,?,?
tyrex,1,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20160324.1517,1135,126,45,81,0,35.714286,64.285714,0,0,0.366463,0.42788,100,100,245.815728,245.815728,0,1.950918,1.950918,0,0,0,0,1,45,1,81,0,0,0,0,0.357143,1,0.526316,0.5,0.357143,0.357143,0.642857,0.642857,0.127551,0.357143,0.18797,0.5,0.001,0.001,0,0,1280,153462,19265,?,?,?,?
tyrex,1,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20160324.1517,1135,126,44,82,0,34.920635,65.079365,0,0,0.36709,0.428703,100,100,246.823513,246.823513,0,1.958917,1.958917,0,0,0,0,1,44,1,82,0,0,0,0,0.349206,1,0.517647,0.5,0.349206,0.349206,0.650794,0.650794,0.121945,0.349206,0.180766,0.5,0.001,0.001,0,0,1280,153462,19265,?,?,?,?
tyrex,1,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20160324.1517,1135,126,44,82,0,34.920635,65.079365,0,0,0.36709,0.428703,100,100,246.823513,246.823513,0,1.958917,1.958917,0,0,0,0,1,44,1,82,0,0,0,0,0.349206,1,0.517647,0.5,0.349206,0.349206,0.650794,0.650794,0.121945,0.349206,0.180766,0.5,0.001,0.001,0,0,1280,153462,19265,?,?,?,?
tyrex,1,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20160324.1517,1135,126,44,82,0,34.920635,65.079365,0,0,0.366867,0.42841,100,100,246.380435,246.380435,0,1.9554,1.9554,0,0,0,0,1,44,1,82,0,0,0,0,0.349206,1,0.517647,0.5,0.349206,0.349206,0.650794,0.650794,0.121945,0.349206,0.180766,0.5,0.001,0.001,0,0,1280,153462,19265,?,?,?,?
