@relation InstanceResultListener

@attribute Key_Dataset {tyrex}
@attribute Key_Run {1,2,3}
@attribute Key_Fold {1,2,3}
@attribute Key_Scheme {weka.classifiers.rules.ZeroR,weka.classifiers.bayes.NaiveBayes,weka.classifiers.functions.SimpleLogistic,weka.classifiers.functions.Logistic,weka.classifiers.functions.SMO,weka.classifiers.trees.J48,weka.classifiers.functions.MultilayerPerceptron}
@attribute Key_Scheme_options {'','-I 0 -M 500 -H 50 -W 0.0','-R 1.0E-8 -M -1','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"','-C 0.25 -M 2','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a'}
@attribute Key_Scheme_version_ID {48055541465867954,5995231201785697655,7397710626304705059,3932117032546553727,-6585883636378691736,-217733168393644444,-5990607817048210779}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Area_under_ROC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary {'Number of leaves: 674\nSize of the tree: 1347\n','Number of leaves: 737\nSize of the tree: 1473\n','Number of leaves: 768\nSize of the tree: 1535\n','Number of leaves: 774\nSize of the tree: 1547\n','Number of leaves: 760\nSize of the tree: 1519\n','Number of leaves: 704\nSize of the tree: 1407\n','Number of leaves: 756\nSize of the tree: 1511\n','Number of leaves: 728\nSize of the tree: 1455\n','Number of leaves: 732\nSize of the tree: 1463\n'}
@attribute measureAttributesUsed numeric
@attribute measureNumIterations numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

tyrex,1,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20160330.1525,7966,3983,1375,2608,0,34.521717,65.478283,0,0,0.131467,0.25634,100,100,10514.196907,10514.196907,0,2.639768,2.639768,0,0,0,0,0,0,0,0,1,3787,1,196,0,0,0,0.5,0.345217,0.345217,0.654783,0.654783,0.119175,0.345217,0.177183,0.5,0.004,0.003,0.01,0,1551,1126013,564410,?,?,?,?,?,?
tyrex,1,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20160330.1525,7966,3983,1374,2609,0,34.496611,65.503389,0,0,0.131472,0.256363,100,100,10518.339816,10518.339816,0,2.640808,2.640808,0,0,0,0,0,0,0,0,1,3786,1,197,0,0,0,0.5,0.344966,0.344966,0.655034,0.655034,0.119002,0.344966,0.176959,0.5,0.003,0.006,0,0.01,1551,1126013,564410,?,?,?,?,?,?
tyrex,1,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20160330.1525,7966,3983,1374,2609,0,34.496611,65.503389,0,0,0.131474,0.256371,100,100,10520.944729,10520.944729,0,2.641462,2.641462,0,0,0,0,0,0,0,0,1,3786,1,197,0,0,0,0.5,0.344966,0.344966,0.655034,0.655034,0.119002,0.344966,0.176959,0.5,0.003,0.006,0,0.01,1551,1126013,564410,?,?,?,?,?,?
tyrex,2,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20160330.1525,7966,3983,1374,2609,0,34.496611,65.503389,0,0,0.131472,0.256362,100,100,10515.105966,10515.105966,0,2.639996,2.639996,0,0,0,0,0,0,0,0,1,3786,1,197,0,0,0,0.5,0.344966,0.344966,0.655034,0.655034,0.119002,0.344966,0.176959,0.5,0.001,0.002,0,0,1551,1126013,564410,?,?,?,?,?,?
tyrex,2,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20160330.1525,7966,3983,1375,2608,0,34.521717,65.478283,0,0,0.131468,0.256347,100,100,10518.799833,10518.799833,0,2.640924,2.640924,0,0,0,0,0,0,0,0,1,3787,1,196,0,0,0,0.5,0.345217,0.345217,0.654783,0.654783,0.119175,0.345217,0.177183,0.5,0.001,0.001,0,0,1551,1126013,564410,?,?,?,?,?,?
tyrex,2,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20160330.1525,7966,3983,1374,2609,0,34.496611,65.503389,0,0,0.131473,0.256365,100,100,10519.575653,10519.575653,0,2.641119,2.641119,0,0,0,0,0,0,0,0,1,3786,1,197,0,0,0,0.5,0.344966,0.344966,0.655034,0.655034,0.119002,0.344966,0.176959,0.5,0.002,0.001,0.01,0,1551,1126013,564410,?,?,?,?,?,?
tyrex,3,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20160330.1525,7966,3983,1375,2608,0,34.521717,65.478283,0,0,0.131468,0.256346,100,100,10515.63065,10515.63065,0,2.640128,2.640128,0,0,0,0,0,0,0,0,1,3787,1,196,0,0,0,0.5,0.345217,0.345217,0.654783,0.654783,0.119175,0.345217,0.177183,0.5,0.001,0.001,0,0,1551,1126013,564410,?,?,?,?,?,?
tyrex,3,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20160330.1525,7966,3983,1374,2609,0,34.496611,65.503389,0,0,0.131473,0.256365,100,100,10519.575653,10519.575653,0,2.641119,2.641119,0,0,0,0,0,0,0,0,1,3786,1,197,0,0,0,0.5,0.344966,0.344966,0.655034,0.655034,0.119002,0.344966,0.176959,0.5,0.001,0.002,0,0,1551,1126013,564410,?,?,?,?,?,?
tyrex,3,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20160330.1525,7966,3983,1374,2609,0,34.496611,65.503389,0,0,0.131472,0.256363,100,100,10518.275149,10518.275149,0,2.640792,2.640792,0,0,0,0,0,0,0,0,1,3786,1,197,0,0,0,0.5,0.344966,0.344966,0.655034,0.655034,0.119002,0.344966,0.176959,0.5,0.001,0.002,0,0,1551,1126013,564410,?,?,?,?,?,?
